WARD,LOCATION,ADDRESS,Address + City,BILINGUAL VOTING OFFICIAL PRESENT
Ward 1,Goldblatts Building,1615 W. Chicago Ave.,"1615 W. Chicago Ave. Chicago, Il",Spanish and Polish
Ward 2,Near North Library,310 W. Division St.,"310 W. Division St. Chicago, Il",
Ward 3,Dawson Technical Institute,3901 S. State St.,"3901 S. State St. Chicago, Il",
Ward 4,Dr. Martin Luther King Center,4314 S. Cottage Gr.,"4314 S. Cottage Gr. Chicago, Il",
Ward 5,Southside YMCA,6330 S. Stony Island Ave.,"6330 S. Stony Island Ave. Chicago, Il",
Ward 6,Whitney Young Library,415 E. 79th St.,"415 E. 79th St. Chicago, Il",
Ward 7,Trumbull Park,2400 E. 105th St.,"2400 E. 105th St. Chicago, Il",
Ward 8,Olive Harvey College,10001 S. Woodlawn Ave.,"10001 S. Woodlawn Ave. Chicago, Il",
Ward 9,Palmer Park,201 E. 111th St.,"201 E. 111th St. Chicago, Il",
Ward 10,Vodak- East Side Library,3710 E. 106th St.,"3710 E. 106th St. Chicago, Il",Spanish
Ward 11,McGuane Park,2901 S. Poplar Ave.,"2901 S. Poplar Ave. Chicago, Il",Spanish and Chinese (Cantonese/Mandarin)
Ward 12,McKinley Park Library,1915 W. 35th St.,"1915 W. 35th St. Chicago, Il",Spanish and Chinese (Cantonese/Mandarin)
Ward 13,Clearing Library,6423 W. 63rd Pl.,"6423 W. 63rd Pl. Chicago, Il",Polish
Ward 14,Archer Heights Library,5055 S. Archer Ave.,"5055 S. Archer Ave. Chicago, Il","Spanish, Chinese (Cantonese) and Polish"
Ward 15,Brighton Park Community Campus (Park No. 596),4830 S. Western Ave.,"4830 S. Western Ave. Chicago, Il",Spanish
Ward 16,Lindblom Park,6054 S. Damen Ave.,"6054 S. Damen Ave. Chicago, Il",
Ward 17,Thurgood Marshall Library,7506 S. Racine Ave.,"7506 S. Racine Ave. Chicago, Il",
Ward 18,Wrightwood Ashburn Library,8530 S. Kedzie Ave.,"8530 S. Kedzie Ave. Chicago, Il",
Ward 19,Mt Greenwood Park,3721 W. 111th St.,"3721 W. 111th St. Chicago, Il",
Ward 20,Bessie Coleman Library,731 E. 63rd St.,"731 E. 63rd St. Chicago, Il",Spanish
Ward 21,West Pullman Library,830 W. 119th St.,"830 W. 119th St. Chicago, Il",
Ward 22,Toman Library,2708 S. Pulaski Rd.,"2708 S. Pulaski Rd. Chicago, Il",Spanish
